run_id,harness,architecture_family,provider,model,temperature,prompt_version,schema_version,mapping_version,dataset_n,llm_calls_per_row,mean_input_tokens,mean_output_tokens,mean_total_tokens,latency_ms,estimated_cost_usd,modules_invoked,intermediate_artifacts,external_tools
matrix_claude-3-haiku-20240307_budgeted_escalation,budgeted_escalation,costed_reliability_variant,replay,claude-3-haiku-20240307,0.0,retrieval_then_direct_evidence_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,3,4,
matrix_gpt-4o-2024-11-20_budgeted_escalation,budgeted_escalation,costed_reliability_variant,replay,gpt-4o-2024-11-20,0.0,retrieval_then_direct_evidence_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,3,4,
matrix_gpt-4o-mini-2024-07-18_budgeted_escalation,budgeted_escalation,costed_reliability_variant,replay,gpt-4o-mini-2024-07-18,0.0,retrieval_then_direct_evidence_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,3,4,
matrix_meta-llama_Llama-3_1-70B-Instruct_budgeted_escalation,budgeted_escalation,costed_reliability_variant,replay,meta-llama/Llama-3.1-70B-Instruct,0.0,retrieval_then_direct_evidence_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,3,4,
matrix_meta-llama_Llama-3_1-8B-Instruct_budgeted_escalation,budgeted_escalation,costed_reliability_variant,replay,meta-llama/Llama-3.1-8B-Instruct,0.0,retrieval_then_direct_evidence_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,3,4,
matrix_claude-3-5-haiku-20241022_clines_epilepsy_modular,clines_epilepsy_modular,clines_inspired_modular,replay,claude-3-5-haiku-20241022,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,6,3,
matrix_claude-3-5-sonnet-20241022_clines_epilepsy_modular,clines_epilepsy_modular,clines_inspired_modular,replay,claude-3-5-sonnet-20241022,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,6,3,
matrix_claude-3-haiku-20240307_clines_epilepsy_modular,clines_epilepsy_modular,clines_inspired_modular,replay,claude-3-haiku-20240307,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,6,3,
matrix_gpt-4o-2024-11-20_clines_epilepsy_modular,clines_epilepsy_modular,clines_inspired_modular,replay,gpt-4o-2024-11-20,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,6,3,
matrix_gpt-4o-mini-2024-07-18_clines_epilepsy_modular,clines_epilepsy_modular,clines_inspired_modular,replay,gpt-4o-mini-2024-07-18,0.0,clines_inspired_field_extractor_v1,final_extraction_v1,,25,5,450.0,175.0,625.0,125,0.0,6,3,
